filename,has_shell,has_socket,num_strings,exec_size,entropy,label
NF,1,0,21,963,5.02084,0
[,0,1,296,55744,5.45581,0
aa-enabled,0,0,123,18744,3.77877,0
aa-exec,0,0,146,18744,4.51658,0
aa-features-abi,0,0,125,18736,3.92065,0
add-apt-repository,0,0,386,16422,4.23246,0
addpart,0,0,97,14720,2.80026,0
addr2line,0,0,179,31440,3.74153,0
apport-bug,1,0,64,2322,5.11204,0
apport-cli,0,0,350,13625,4.27911,0
apport-collect,1,0,64,2322,5.11204,0
apport-unpack,0,0,92,3790,4.60456,0
appstreamcli,0,0,1338,141544,5.34942,0
apropos,0,0,359,48416,4.69612,0
apt,0,0,149,18824,3.37986,0
apt-add-repository,0,0,386,16422,4.23246,0
apt-cache,0,0,567,88544,5.78769,0
apt-cdrom,0,0,174,27104,4.42742,0
apt-config,0,0,243,31120,4.62768,0
apt-extracttemplates,0,0,162,23008,4.67833,0
apt-ftparchive,0,0,1238,227816,6.17413,0
apt-get,0,0,394,51680,5.08965,0
apt-key,1,0,720,28664,5.35772,0
apt-mark,0,0,328,55776,5.60603,0
apt-sortpkgs,0,0,260,51608,5.47022,0
ar,0,0,374,55792,5.48293,0
arch,0,0,183,35336,4.12258,0
as,0,0,5264,745768,5.68594,0
automat-visualize3,0,0,25,984,4.92971,0
awk,1,1,4585,739840,6.36327,0
b2sum,0,0,307,55816,5.20795,0
base32,0,0,224,39432,4.91801,0
base64,0,0,224,39432,4.89501,0
basename,0,0,201,35336,4.39299,0
basenc,0,0,289,47624,5.32114,0
bash,1,1,9568,1446024,6.20296,0
bashbug,1,0,212,6988,5.45035,0
bc,0,0,535,93000,5.63124,0
broadwayd,0,1,2798,125240,5.81541,0
busctl,0,1,677,96864,5.33008,0
byobu,1,1,224,8703,5.62303,0
byobu-config,1,0,17,996,5.28414,0
byobu-ctrl-a,1,0,125,4774,5.41616,0
byobu-disable,1,0,30,1295,5.22831,0
byobu-disable-prompt,1,0,28,1341,5.33661,0
byobu-enable,1,0,25,1182,5.18632,0
byobu-enable-prompt,1,0,30,1453,5.34678,0
byobu-export,1,0,30,1421,5.2649,0
byobu-janitor,1,0,114,7209,5.55095,0
byobu-keybindings,1,0,37,1506,5.29217,0
byobu-launch,1,0,72,3329,5.31923,0
byobu-launcher,1,0,45,1910,5.34919,0
byobu-launcher-install,1,0,67,2529,5.36992,0
byobu-launcher-uninstall,1,0,34,1561,5.35588,0
byobu-layout,1,0,111,3348,5.26139,0
byobu-prompt,1,0,27,1156,5.31933,0
byobu-quiet,1,0,29,1410,5.38324,0
byobu-reconnect-sockets,1,1,80,3298,5.4461,0
byobu-screen,1,1,224,8703,5.62303,0
byobu-select-backend,1,0,45,1452,5.38625,0
byobu-select-profile,1,0,181,5180,5.40783,0
byobu-select-session,1,0,17,1012,5.26258,0
byobu-shell,1,0,36,1697,5.25931,0
byobu-silent,1,0,27,1306,5.35644,0
byobu-status,1,0,162,6015,5.53514,0
byobu-status-detail,1,0,22,1207,5.28245,0
byobu-tmux,1,1,224,8703,5.62303,0
byobu-ugraph,0,0,152,4667,4.98768,0
byobu-ulevel,0,0,400,11996,5.14236,0
c++filt,0,0,131,22800,3.43119,0
c89,1,0,19,428,5.01713,0
c89-gcc,1,0,19,428,5.01713,0
c99,1,0,20,454,5.00535,0
c99-gcc,1,0,20,454,5.00535,0
c_rehash,0,0,206,6841,4.77565,0
captoinfo,0,0,715,92584,5.48228,0
cat,0,0,226,39384,4.75619,0
catman,0,0,247,31504,4.69682,0
cc,0,0,9080,1023032,5.69724,0
cftp3,0,0,8,224,5.01242,0
chage,0,0,525,72184,4.86687,0
chardet,0,0,8,221,5.05052,0
chardetect,0,0,8,221,5.05052,0
chattr,0,0,108,14656,3.69012,0
chcon,0,0,443,59912,5.68204,0
chfn,0,0,510,72792,4.63776,0
chgrp,0,0,400,59912,5.36296,0
chmod,0,0,384,55816,5.50926,0
choom,0,0,148,22912,3.48292,0
chown,0,0,436,59912,5.72537,0
chrt,0,0,212,31104,3.79804,0
chsh,0,0,307,44760,4.5829,0
chvt,0,0,101,14712,3.38689,0
ckbcomp,0,0,4599,150674,4.94248,0
ckeygen3,0,0,8,227,5.0317,0
cksum,0,0,459,104984,5.61949,0
clear,0,0,77,14656,2.21977,0
clear_console,0,0,92,14568,2.78099,0
cloud-id,0,0,25,972,4.92247,0
cloud-init,0,0,25,976,4.91635,0
cloud-init-per,1,0,52,2108,5.01794,0
cmp,0,0,284,43408,5.38947,0
codepage,0,0,95,14640,3.27845,0
col,0,0,146,22920,3.73408,0
col1,1,0,21,963,5.02084,0
col2,1,0,21,963,5.02084,0
col3,1,0,21,963,5.02084,0
col4,1,0,21,963,5.02084,0
col5,1,0,21,963,5.02084,0
col6,1,0,21,963,5.02084,0
col7,1,0,21,963,5.02084,0
col8,1,0,21,963,5.02084,0
col9,1,0,21,963,5.02084,0
colcrt,0,0,117,14728,3.72036,0
colrm,0,0,105,14728,3.25788,0
column,0,0,279,39304,4.47713,0
comm,0,0,244,39440,4.86124,0
conch3,0,0,8,225,5.0164,0
corelist,0,0,419,15375,4.89815,0
cp,0,0,785,141848,5.93365,0
cpan,0,0,211,8360,4.9978,0
cpan5.38-x86_64-linux-gnu,0,0,211,8381,5.00576,0
cpp,0,0,9103,1027128,5.68637,0
cpp-13,0,0,9103,1027128,5.68637,0
crontab,1,0,368,39664,5.36905,0
csplit,0,0,306,51720,4.95272,0
ctail,1,0,20,960,5.00817,0
ctstat,0,0,153,23200,4.03862,0
curl,0,1,2700,297288,6.41875,0
cut,0,0,279,39432,5.3423,0
cvtsudoers,1,1,2204,328832,6.21106,0
dash,1,0,829,129784,5.68952,0
date,0,0,652,109064,5.85459,0
dbus-cleanup-sockets,0,1,96,14632,3.44576,0
dbus-daemon,0,1,1657,236176,5.90332,0
dbus-launch,0,0,233,30864,4.5716,0
dbus-monitor,0,1,223,26928,4.59952,0
dbus-run-session,0,0,129,14640,3.81449,0
dbus-send,0,1,235,31016,4.48221,0
dbus-update-activation-environment,0,0,122,14632,3.95267,0
dbus-uuidgen,0,0,77,14632,2.35571,0
dd,0,0,493,72232,5.78318,0
deallocvt,0,0,96,14712,3.24111,0
deb-systemd-helper,0,0,538,24358,4.9499,0
deb-systemd-invoke,0,0,151,7135,5.07453,0
debconf,0,0,79,2870,5.23337,0
debconf-apt-progress,0,0,372,11846,5.45347,0
debconf-communicate,0,0,24,623,5.19568,0
debconf-copydb,0,0,53,1718,5.21995,0
debconf-escape,0,0,31,668,5.05525,0
debconf-set-selections,0,0,105,3216,5.21014,0
debconf-show,0,0,74,1825,5.21363,0
debian-distro-info,0,0,177,31696,3.86085,0
delpart,0,0,90,14720,2.61886,0
df,0,0,484,89168,5.56166,0
dh_bash-completion,0,0,123,4527,5.09983,0
dh_installxmlcatalogs,0,0,216,9444,5.1934,0
diff,0,1,784,137776,5.80779,0
diff3,0,0,351,59920,5.27742,0
dir,0,1,1112,142312,5.9182,0
dircolors,0,1,495,47632,5.03855,0
dirmngr,0,1,3461,485136,6.16768,0
dirmngr-client,0,1,419,56240,5.25127,0
dirname,0,0,179,35208,4.09972,0
distro-info,0,0,177,27536,4.05614,0
dmesg,0,0,513,70288,4.66078,0
dnsdomainname,0,0,154,22760,3.31365,0
do-release-upgrade,0,0,226,10675,4.67148,0
domainname,0,0,154,22760,3.31365,0
dpkg,0,0,2534,318176,6.01564,0
dpkg-deb,0,0,1204,146000,5.70775,0
dpkg-divert,0,0,963,121416,5.70372,0
dpkg-maintscript-helper,1,0,555,21205,5.37428,0
dpkg-query,0,0,1106,137792,5.79723,0
dpkg-realpath,1,0,150,4185,5.00355,0
dpkg-split,0,0,941,100896,5.70109,0
dpkg-statoverride,0,0,423,51592,4.69441,0
dpkg-trigger,0,0,327,43552,4.99739,0
du,0,0,633,100872,5.66074,0
dumpkeys,0,0,1578,166760,3.79912,0
dwp,0,0,9156,1961344,6.07213,0
eatmydata,1,0,79,2806,4.75813,0
ec2metadata,0,1,214,8583,4.56976,0
echo,0,0,197,35208,4.46008,0
ed,0,0,333,59960,5.28446,0
editor,1,0,1970,279040,6.1768,0
egrep,1,0,3,41,4.63135,0
eject,0,0,351,43240,4.88114,0
elfedit,0,0,255,35552,4.90119,0
enc2xs,0,0,1156,41947,5.11542,0
encguess,0,0,103,3069,5.10985,0
env,0,0,336,48072,4.92128,0
envsubst,0,0,172,35200,4.00932,0
eqn,0,0,1684,192968,5.36262,0
ex,1,1,21747,4126400,6.24258,0
expand,0,0,226,35360,4.89753,0
expiry,0,0,190,27152,3.79697,0
expr,0,0,285,43432,5.46247,0
factor,0,0,455,64008,5.98278,0
faillog,0,0,173,23168,4.15656,0
fallocate,0,0,181,27008,3.67807,0
false,0,0,165,26936,4.8036,0
fc-cache,0,0,144,22912,3.37483,0
fc-cat,0,0,115,18816,3.10966,0
fc-conflist,0,0,74,14720,2.21076,0
fc-list,0,0,96,14720,3.04484,0
fc-match,0,0,105,14720,3.43558,0
fc-pattern,0,0,85,14720,2.79374,0
fc-query,0,0,86,14720,2.7085,0
fc-scan,0,0,92,14720,2.95,0
fc-validate,0,0,97,14720,3.30903,0
fgconsole,0,0,98,14712,3.20908,0
fgrep,1,0,3,41,4.63135,0
file,0,0,237,31336,3.99302,0
find,0,0,1480,204264,5.91983,0
findmnt,0,0,563,69280,4.9931,0
flock,1,0,161,23024,3.71598,0
fmt,0,0,251,39432,5.15182,0
fold,0,0,204,35336,4.78125,0
free,0,0,175,27008,3.79805,0
fuser,0,1,285,40288,5.05518,0
fusermount,0,0,269,39296,4.52993,0
fusermount3,0,0,269,39296,4.52993,0
gapplication,0,0,188,22920,3.97254,0
gawk,1,1,4585,739840,6.36327,0
gawkbug,1,0,220,6900,5.44554,0
gcc,0,0,9080,1023032,5.69724,0
gcc-13,0,0,9080,1023032,5.69724,0
gcc-ar,0,0,176,27216,4.07484,0
gcc-ar-13,0,0,176,27216,4.07484,0
gcc-nm,0,0,174,27216,4.06782,0
gcc-nm-13,0,0,174,27216,4.06782,0
gcc-ranlib,0,0,174,27216,4.0671,0
gcc-ranlib-13,0,0,174,27216,4.0671,0
gcov,0,0,3797,442496,6.26035,0
gcov-13,0,0,3797,442496,6.26035,0
