filename,has_shell,has_socket,num_strings,exec_size,entropy,label
fake1.sh,1,0,2,25,3.65366,1
fake10.sh,0,0,2,57,4.3901,1
fake100.sh,0,0,2,58,4.40559,1
fake11.sh,0,0,2,55,4.57174,1
fake12.sh,0,0,2,57,4.3901,1
fake13.sh,0,0,2,61,4.66051,1
fake14.sh,0,0,2,55,4.62182,1
fake15.sh,0,0,2,46,4.31683,1
fake16.sh,0,0,2,57,4.3901,1
fake17.sh,1,0,2,25,3.65366,1
fake18.sh,0,0,2,61,4.66051,1
fake19.sh,0,0,2,55,4.62182,1
fake2.sh,0,0,2,46,4.31683,1
fake20.sh,0,0,2,61,4.66051,1
fake21.sh,0,0,2,46,4.31683,1
fake22.sh,0,0,2,61,4.62772,1
fake23.sh,1,0,2,25,3.65366,1
fake24.sh,0,0,2,57,4.3901,1
fake25.sh,0,0,2,46,4.36031,1
fake26.sh,0,0,2,57,4.3901,1
fake27.sh,0,0,2,55,4.62182,1
fake28.sh,0,0,2,57,4.3901,1
fake29.sh,0,0,2,55,4.62182,1
fake3.sh,0,0,2,55,4.6081,1
fake30.sh,1,0,2,25,3.65366,1
fake31.sh,0,0,2,57,4.3901,1
fake32.sh,0,0,2,57,4.3901,1
fake33.sh,0,0,2,55,4.62182,1
fake34.sh,0,0,2,46,4.36031,1
fake35.sh,0,0,2,57,4.3901,1
fake36.sh,0,0,2,57,4.3901,1
fake37.sh,0,0,2,61,4.66051,1
fake38.sh,0,0,2,61,4.66051,1
fake39.sh,0,0,2,55,4.65819,1
fake4.sh,0,0,2,46,4.31683,1
fake40.sh,1,0,2,25,3.65366,1
fake41.sh,0,0,2,61,4.66051,1
fake42.sh,0,0,2,46,4.36031,1
fake43.sh,0,0,2,57,4.3901,1
fake44.sh,0,0,2,55,4.62182,1
fake45.sh,0,0,2,61,4.66051,1
fake46.sh,0,0,2,57,4.3901,1
fake47.sh,0,0,2,46,4.36031,1
fake48.sh,0,0,2,57,4.3901,1
fake49.sh,1,0,2,25,3.65366,1
fake5.sh,0,0,2,46,4.31683,1
fake50.sh,0,0,2,61,4.66051,1
fake51.sh,0,0,2,61,4.66051,1
fake52.sh,0,0,2,57,4.3901,1
fake53.sh,0,0,2,57,4.3901,1
fake54.sh,0,0,2,61,4.66051,1
fake55.sh,0,0,2,46,4.31683,1
fake56.sh,0,0,2,46,4.36031,1
fake57.sh,1,0,2,25,3.65366,1
fake58.sh,0,0,2,46,4.36031,1
fake59.sh,0,0,2,46,4.36031,1
fake6.sh,0,0,2,60,4.61549,1
fake60.sh,0,0,2,57,4.3901,1
fake61.sh,0,0,2,57,4.3901,1
fake62.sh,0,0,2,57,4.3901,1
fake63.sh,1,0,2,25,3.65366,1
fake64.sh,0,0,2,55,4.65819,1
fake65.sh,0,0,2,61,4.66051,1
fake66.sh,0,0,2,55,4.62182,1
fake67.sh,0,0,2,46,4.36031,1
fake68.sh,1,0,2,25,3.65366,1
fake69.sh,0,0,2,55,4.65819,1
fake7.sh,1,0,2,25,3.65366,1
fake70.sh,1,0,2,25,3.65366,1
fake71.sh,0,0,2,57,4.3901,1
fake72.sh,0,0,2,55,4.62182,1
fake73.sh,0,0,2,55,4.65819,1
fake74.sh,0,0,2,46,4.36031,1
fake75.sh,0,0,2,61,4.66051,1
fake76.sh,0,0,2,55,4.65819,1
fake77.sh,0,0,2,57,4.35502,1
fake78.sh,0,0,2,55,4.65819,1
fake79.sh,1,0,2,25,3.65366,1
fake8.sh,0,0,2,55,4.6081,1
fake80.sh,0,0,2,46,4.31683,1
fake81.sh,0,0,2,46,4.31683,1
fake82.sh,0,0,2,46,4.36031,1
fake83.sh,1,0,2,25,3.65366,1
fake84.sh,0,0,2,61,4.66051,1
fake85.sh,0,0,2,61,4.66051,1
fake86.sh,0,0,2,57,4.3901,1
fake87.sh,0,0,2,61,4.66051,1
fake88.sh,0,0,2,61,4.62772,1
fake89.sh,0,0,2,57,4.3901,1
fake9.sh,0,0,2,60,4.61549,1
fake90.sh,0,0,2,57,4.3901,1
fake91.sh,0,0,2,57,4.3901,1
fake92.sh,0,0,2,61,4.66051,1
fake93.sh,0,0,2,61,4.66051,1
fake94.sh,1,0,2,25,3.65366,1
fake95.sh,1,0,2,25,3.65366,1
fake96.sh,0,0,2,46,4.36031,1
fake97.sh,0,0,2,46,4.36031,1
fake98.sh,0,0,2,57,4.3901,1
fake99.sh,1,0,2,25,3.65366,1
